,text,claim,emotion
6909,"Biggest Player. The United Nations Intergovernmental Panel on Climate Change (IPCC) is the scientific panel whose reports contain the work of Glimategate figures and are highly politicized and publicized to increase fear of Anthropogenic Global Warming (AGW): ""imminent catastrophic man-made climate change."" Many horrendously expensive and needless local, state, federal and international policies have flowed from IPCC's flawed reports.",5_2,annoyance
6910,"To summarize, a pro-AGW paper being peer reviewed by other climate scientists is probably (like Briffa appears to have been) being considered favorably because of its results, is being reviewed by reviewers who know and often have co-authored with the papers writer, likely contains undisclosed data treatment that influences the result, is being reviewed by reviewers who do not have the mathematical background to spot subtle statistical errors, and is being judged on conformity to accepted practices in the discipline in a discipline that is evolving so quickly that the accepted practices themselves are not well validated.",5_2,realization
6914,"On the basis of these findings, the authors conclude that this worst drought of the modern meteorological record ""is not likely to be purely anthropogenic in origin."" And if it is no different from what has been occurring over and over again for the past 1500 years, it is surely not the result of anthropogenic greenhouse gas emissions.",1_7,disgust
6916,"""Based on the above analysis,"" in the words of the three researchers, ""it is likely that the observed decrease in stress response was the result of acclimatization of the coral/algal holobionts (Berkelmans et al ., 2004; Maynard et al ., 2008) or an influx of thermo-tolerant colonies between 2002 and 2007."" And providing further support for their conclusions, they note that several ""similar decreases in susceptibility to thermal stress have been documented between successive bleaching events, including between 1991 and 1994 at Moorea Island (Adjeroud et al ., 2002), between 1998 and 2002 on the Great Barrier Reef in Australia (Maynard et al ., 2008), and between 1982-83 and 1997-98 in Panama (Glynn et al ., 2001), Costa Rica (Jimenez et al ., 2001), and at the Galapagos Islands (Podesta and Glynn, 2001).""",3_2,neutral
6921,Near-future reductions in pH will have no consistent ecological effects on the early life-history stages of reef corals,3_2,neutral
6927,"Students meet state treasurer - Campus With a graduate degree in geology, Mourdock said his studies have convinced him that global warming is not happening. ""I'm scared to death about each of the three candidates and their positions on global climate change,"" Mourdock said. ""Global caps in the last 15 years receded until last year on Mars, but what do we have in common with Mars? Last time I checked, only the sun."" Mourdock explained that humans aren't the cause of global warming and that it's something bigger in the universe, such as the sun.",2_1,fear
6935,In Keremali Akyaz Plateau district about 10 most elderly stranded citizens were rescued after heavy snowfall there mounted up to 70 cm (27 inches).,1_3,sadness
6939,"Also July of 2015, and thus the 19th year without any signfiant linear global warming, the question remains: wheres the global warming ?",1_4,curiosity
6943,"Despite this, no changes were made to the text. In fact, when V.K Raina challenged the 2035 date in his report on Himalayan glaciers for the Indian government, the IPCC accused him of mischief and defended 2035 as a good estimate of when the glaciers would be gone.",5_2,approval
6944,"The authors of this new study were able to reveal a dimension of plant-environment feedbacks, which is currently insufficiently investigated and described for the response of plants to future CO2 concentrations, and that dimension reveals a promising future for Earths plant life?? Read More",3_3,curiosity
6945,It is a huge no-brainer that Jan 1974 rain exceeded Jan 2001 . Note the BoM coy way of putting it ??? ???? what data the bureau has suggests 1893??s rainfall was extreme.?? Feb 1893 rain might have exceeded Jan 1974 and 2011 combined.,1_7,curiosity
6946,"Not only are the 14 proxies used in O&B; not independent of prior studies, in fact, they are composed entirely of proxies repeatedly used in previous studies. Astonishingly, 2 of the 14 proxies (2 of only 10 in the Medieval Warm Period) are bristlecone/foxtail pines, despite the fact that these are precisely the proxies that have most been called into question in connection with the work of Mann et al.",5_1,surprise
6951,"Translation; Pieces of wood are found repeatedly at the edges of receding glaciers. These provide evidence that it was frequently warmer than today over much of the past 10,000 years.",2_1,neutral
6953,"Claim F: Climate scientists claim that the .4-.5C warming from 1975-1998 cannot have been caused natural variations. This has never been reconciled with the fact that the 0.6C warming from 1910 to 1940 was almost certainly due mostly to natural forces. Also, the claim that natural forcings could not have caused a 0.2C per decade warming in the 80's and 90's cannot be reconciled with the the current claimed natural ""masking"" of anthropogenic warming that must be on the order of 0.2C per decade.",2_1,neutral
6956,Global warming alarmists in full retreat as skeptics attack greenhouse theory,5_1,neutral
6957,"In conducting their experiments, the three researchers determined that ""primary polyp growth was reduced only marginally by more acidic seawater,"" but they state that ""the combined effect of high temperature and lowered pH caused a significant reduction in growth of primary polyps by almost a third."" Nevertheless, they report that ""survival and settlement of planula larvae were unaffected by increased temperature, lowered acidity or the combination of both.""",3_2,neutral
6963,"The hiatus period of 18 years 4 months, or 220 months, is the farthest back one can go in the RSS satellite temperature record and still show a sub-zero trend.",1_4,neutral
6969,"Further information on the upward step changes that result from strong El Nio events, refer to my posts from a year ago Can El Nino Events Explain All of the Global Warming Since 1976? Part 1 and Can El Nino Events Explain All of the Global Warming Since 1976? Part 2",2_1,curiosity
6970,"Sea level in the region has been completely steady since 1975, Taminos period of modern global warming. Once again, scientists are trying to pretend that they know something scary, when in fact there is not one shred of evidence to support their claims.",1_6,fear
6971,"The paper, written in Chinese, says that there is also a ""significant correlation"" between solar activity over the past century and an increase in Earth's surface temperatures over the same period. The correlation between solar activity and water temperature is even higher than the correlation between solar activity and land temperature.",2_1,neutral
6974,"November to April snow extent was the highest on record this year, and has increased sharply since CO2 hit Hansens global warming tipping point of 350 PPM.",1_3,neutral
6975,"It's not just me saying this. As the Chicago Tribune reported on May 18, in 2015 ""electric bills are set to be about $130 more than they are now."" It went on to say that prices have already significantly risen in the heartland. To quote this article again, ""Prices were higher in northern Ohio and the Mid-Atlantic region, at $357 per megawatt and $167 per megawatt respectively.""",4_1,realization
6976,"Why did they overestimate ice loss from these glaciers by 50%? The impact of rock debris that covers certain glacier tongues (4) and protects them from solar radiation (and thus from melting) was not taken into account in the previous work. Moreover, their sampling was limited to longitudinal profiles along the center of a few glaciers, which geometrically led to overestimation of ice loss.",5_1,neutral
6977,"The substantial study, by Peter Lilley MP, is the most thorough analysis of the Stern Review so far undertaken. It takes the IPCCs view of the science of global warming as given, but points out that Sterns economic conclusions contradict the views of most of the worlds leading environmental economists and even the economic conclusions of the IPCC",5_2,neutral
6981,"11) Is Rising CO2 the Cause of Recent Warming? While this is theoretically possible, I think it is more likely that the warming is mostly natural. At the very least, we have no way of determining what proportion is natural versus human-caused.",2_1,confusion
6992,Latif saysthat half of the 0.8C of global warming weve seen since 1850 is due to natural causes.Marotzke says that ocean cycles stopped the warming over the last 12 years.,2_1,neutral
6996,"Temperatures above the ""pre-industrial era"" in the last 450,000 years. Note that even the limit of 2.0 ??C was probably breached 8,135 years ago and 128,357 years ago, among other periods.",2_1,neutral
6999,"Unfortunately, the total surface heat and water fluxes are not well observed. Normally, they are inferred from observations of other fields, such as surface temperature and winds. Consequently, the uncertainty in the observational estimate is large of the order of tens of watts per square metre for the heat flux, even in the zonal mean.",5_1,disappointment
7000,Junk Science: Climate Activists' Credibility Gap,5_2,neutral
7004,Perhaps Idsos final conclusion should make all those who fear that global warming and increased CO2 is adding to the demise of the planet that everything is going to be OK: he claimed it is far more likely that CO2 proliferation will increase regional biodiversity and will contribute to the expansion and proliferation of animal habitats.,3_3,neutral
7005,"But skiers can enjoy the snowfall. In the Carpathians, snow does not stop almost daily. The slopes of the tourist complex Bukovel are covered by 10 -cm layer of snow. If this continues, management is optimistic and hopes this years ski season will start in the middle of November.",1_3,optimism
7007,"But anyone who looks at the data (shown in Figure 1) will see that no matter which caused the other, the changes in temperature from ice-age cold to interglacial warmth are about 10C while the change in CO 2 is about 100ppm. Since the late 1800s, the temperature has warmed a bit less than 1C , while the CO 2 concentration has increased by a bit less than 100ppm. In other words, the natural, historical relationship between CO 2 and temperature is about 10 times weaker than that observed over the past 100 or so years. Thus, there is no way that the temperature rise from the Little Ice Age to the present can be the cause of an atmospheric CO 2 increase of nearly 100ppmthe reasonable expectation would be about 10ppm. This line of reasoning is off by an order of magnitude.",2_3,neutral
7008,U.S. Climate Data Reveals Past Global Warming Far Exceeds Modern Temperature Change,2_1,neutral
7026,"CEI Response: Davis found a net ice balance increase of 1.4cm/yr over his entire region of coverage (ROC). The East Antarctic Ice Sheet is gaining at a rate of 1.8cm/yr (over the period 1992-2003) and the West Antarctic Ice Sheet is thinning at a rate of 0.9 cm/yr. He writes: ""For the ROC, the 5:1 ratio in East versus West Antarctic area coverage causes slight thickening overall at a rate of 1.4 +/- 0.3 cm/yr."" Thus, it is a fair assessment to say that overall, Davis found that the portion of Antarctica in his ROC has been gaining ice. Indeed, the title of Davis's article states that, ""Snowfall-Driven Growth in East Antarctic Ice Sheet Mitigates Recent Sea-Level Rise."" We think this is good news, but the general public seldom (or never) hears it.",1_1,approval
7033,"LaFramboise further found that one third of the literature reviewed and cited by the IPCC in its 2007 report wascontrary to IPCC chief publicist Ragendra Pachauris pronouncementsnot even peer-reviewed, and in many cases included citations of promotional literature devised and distributed by environmental activist organizations.",5_2,neutral
7035,"Megadroughts lasting a century or two are known to have occurred in what is now California over the last 3,500 years. Droughts of similar severity have also been implicated in the downfall of the empire of the Maya in Central America a millennium ago; the Akkadian empire (the worlds first) in Mesopotamia 4,200 years ago (that drought lasted 300 years) and several pre-Inca cultures in South America.",1_7,realization
7040,The title makes you instantly skeptical because sea ice isnt at its lowest even in the last two years. Of course we then have to wonder how they determined sea ice levels back 800 years.,1_1,realization
7041,"Had these scientists found an increase in the total number of tropical cyclones in the Southern Hemisphere, they would need to hire press agents to handle the global coverage. Their work would be front page news all over the world, Time and Newsweek would be all over the story, and thousands of web pages would trumpet the results. However, they found no trends, or even downward trends, in total tropical cyclone frequency over a huge area of the planet coverage at World Climate Report is about all they can expect.",1_7,neutral
7049,"Utility MACT: Electricity Prices will ""Necessarily Skyrocket""; Jobs will be lost",4_1,disappointment
7050,The trends in the neutron count over the lastfew solar cycles strengthens the forecast of coming cooling made from projectingthe PDO and Millennial cycle temperature trends.The decline in solar activity from 1990 (Cycle 22) to the present (Cycle 24) is obvious.,1_2,realization
7055,"This article, by ABCs environment editor, Sara Phillips (pictured), encapsulates all that is wrong with the national broadcasters treatment of the climate debate. Written, as always, from a position of belief, and institutionally critical of any dissent, Phillips attempts to show that scepticism is crumbling in the face of ever-mounting evidence to the contrary:",5_2,disappointment
7059,Microbial mass increases. Another team of Japanese scientists examined how the beneficial soil microbial biomass beneath the rice plants was impacted by elevated CO2. Li et al. reported Elevated significantly increased microbial biomass carbon in the surface 5 cm soil when N (90 kg ha-1) was in sufficient supply.,3_3,neutral
7061,"If we could pick the month when global warming officially started, it would be March of 1985. The previous month, February of 1985, was the last time the temperature of the Earth was below the average for the 20th century. Over twenty-seven years ago. Every month since then 329 months in a row has been above the 20th century average",1_4,realization
7063,"Glaciologist, Lonnie Thompson, also produced this temperature graph, using ice cores on the Quelccaya, which clearly show higher temperatures back in the MWP.",2_1,neutral
7064,"The two Australian researchers report that after a 4-week incubation period under various experimental conditions, negative effects on juvenile development and growth were only observed at a pH of 7.2 (a decrease of one full unit), which was brought about by pCO 2 values in the range of 4430-4600 atm.",3_2,neutral
7066,"The figure above also highlights the strong divergences between the IPCC model and the temperature, which are explicitly studied in my papers proving that the IPCC model are not able to reconstruct any of the natural oscillations observed at multiple scales. For example, look at the 60-year cycle I extensively discuss in my papers : from 1910 to 1940 a strong warming trending is observed in the data, but the warming trending in the model is far lower; from 1940 to 1970 a cooling is observed in the data while the IPCC model still shows a warming; from 1970 to 2000, the two records present a similar trending (this period is the one originally used to calibrate the sensitivities of the models); the strong divergence observed in 1940-1970, repeats since 2000, with the IPCC model projecting a steady warming at 2.3 o C/century , while the temperature shows a steady harmonically modulated trending highlighted in my widget and reproduced in my model.",5_1,neutral
7067,"The unprecedented boom in natural gas supplies over the last few years as been one of the few tail-winds for the US economy over the last few years, as plummeting natural gas prices have lowered costs for both industry and consumers.",4_5,realization
7068,"The results of this study are very encouraging. For the standard 300-ppm increase in atmospheric CO 2 concentration we use to express the effects of elevated CO 2 on plant photosynthesis , they indicate that this important plant process is stimulated by close to 42% in ambient air and 34% in ozone-polluted air for typical growing-season air temperature and soil moisture conditions experienced at the SoyFACE facility, while for both warmer and drier conditions, the CO 2 -induced photosynthetic enhancements are greater still. Reviewed 3 January 2007",3_3,admiration
7069,"Monbiot and Lynass one sop to science is to link to the official sea level rise data for the Maldives. At one site the sea level is rising by 3mm a year, as the IPCC says; at the other, the rise is zero, as Mrner says.",1_6,neutral
7070,We have been told by NASA ???that carbon dioxide itself is a potent greenhouse gas (GHG)?? and by NOAA??s UCAR that ???the current spike in carbon dioxide is sure to result in a rapid increase in global temperature??. Anthroprogenic CO2 emissions have increased by over 60% since 1990;,2_3,curiosity
7071,"The scientists will start monitoring temperatures for some unstated reason. During the first 25 years, the scientists continue to support all 10 thermometers, fixing broken ones running QA checks etc. But after a while, someone cuts their budget. Inspecting the data, the scientists decide they don??t need to record the temperatures from all 10 thermometers. To save manpower, they can record the temperature from with 5: one from each continent. Because mountain tops stations are difficult to maintain, they stop recording the mountain top thermometers. (Meanwhile a secret band of conspirators does record those, so we here in toyland can look at those temperatures.)",5_1,neutral
7079,"""The Obama administration is instituting a variety of far-reaching policies to reduce carbon emissions and mitigate climate change. Are any of these capable of making a difference?"" asked Mr. Lazear. ""Simple arithmetic suggests not."" Up to this point I was very pleased with his conclusion, but then he wrote ""Given this reality, we would be wise to consider strategies that complement and may be more effective than mitigationnamely, adaptation.""",4_2,neutral
7082,"A paper published today in Global and Planetary Change reconstructs temperatures in Northern Fennoscandia over the past 1,600 years and finds more non-hockey-sticks clearly demonstrating that the Arctic was warmer than the present during the Medieval Warm Period. The paper adds to over 1,000 peer-reviewed published non-hockey-sticks finding the Medieval Warm Period was global, as warm or warmer than the present , and that there is nothing unusual, unnatural, or unprecedented about the current warm period.",2_1,neutral
7089,Yet Gore has received a Nobel Prize for a book (and film) that even sympathizers can see is filled with factual errors. Gore's book and film are so tendentious and inaccurate that they do little to advance his position.,5_2,disapproval
7095,"We frequently hear that climate change is increasing the frequency and severity of droughts in Africa. There is, of course, no evidence that current droughts are any worse than historical ones.",1_7,neutral
7096,"One of the most cited and used historical surface temperature databases is that of NASA/Goddard's GISS. This is not some weird skeptics site. It is considered one of the premier world temperature data bases, and it is maintained by anthropogenic global warming true believers. It has consistently shown more warming than any other data base, and is thus a favorite source for folks like Al Gore. These GISS readings in the US rely mainly on the US Historical Climate Network (USHCN) which is a network of about 1000 weather stations taking temperatures, a number of which have been in place for over 100 years.",5_1,approval
7097,"The Kind and Lee amendment (#9) would not merely codify EPA??s Tailoring Rule, it would also codify the entire ever-growing ensemble of EPA greenhouse gas regulations of which the Tailoring Rule is apart. It would put Congress??s legislative seal of approval on EPA??s seizure of legislative power. Passing this amendment would obviously defeat the constitutional purpose of H.R. 910.",4_1,neutral
7106,"That's certainly interesting, but hardly earth-shaking. Ice cores and fossil pollen show the earth has had six major global warmings since the last Ice Age, interspersed with centuries-long cold periods. The earth's temperatures are always cycling up and down.",2_1,excitement
7116,Sceptics have seized upon the mistakes to cast doubt over the validity of the IPCC and have called for the panel to be disbanded.,5_2,neutral
7119,"Natural variability, therefore, is sufficient to explain all of the warming since 1750. No other explanation is necessary. Accordingly, it is not legitimate to claim, as the Berkeley team claim, that in the absence of any other explanation the warming must be attributed to CO2. That claim is an instance of the argumentum ad ignorantiam, the fundamental logical fallacy of argument from ignorance. It is not sound science.",2_1,disapproval
7120,"Does 'climate change' mean 'changing data'? ""So what is the probability of this effort consistently increasing recent temperatures and decreasing older temperatures? From a statistical viewpoint, data recalculation should cause each year to have a 50/50 probability of going either up or down thus the odds of all 70 adjusted years working in concert to increase the slope of the graph are an astronomical 2 raised to the power of 70. That is one-thousand-billion-billion to one. This isn't an exact representation of the odds because for some of the years (less than 15) the revisions went against the trend but even a 55/15 split is about as likely as a room full of chimpanzees eventually typing Hamlet. That would be equivalent to flipping a penny 70 times and having it come up heads 55 times. It will never happen one trillion to one odds (2 raised to the power 40).",5_2,neutral
7128,"This is a zero dimensional model (global average). It has many faults, but seems to not be too far off. Analysis of output (just as though they produced real data) from most of the GCMs give about these same values for A and B, etc. This simple model probably includes the lapse rate feedback, etc. It does not include snow/ice feedback which would raise the sensitivity slightly. Finally, the fits do not properly take the tropics (all-important, unfortunately half the planet??s area) into account. Lindzen would argue that it fails miserably there. The clouds muck up the tiny seasonal and latitudinal signal in the tropics and this could change the result. I cannot deny it.",5_1,neutral
7129,"Williams et al . conclude, in their words, that ""the 60% increase in root growth during the 8-year study was the likely catalyst for the greater potentially mineralizable soil C pools in the enriched CO 2 treatment,"" and that this finding ""confirms that C can accrue in soils under elevated CO 2 ."" In their specific study, for example, they determined that the total amount of extra new carbon sequestered in the soil due to their doubling of the air's CO 2 concentration was 4 Mg C ha -1 over the 8-year period, for an annual rate of extra (CO 2 -induced) carbon sequestration of 0.5 Mg ha -1 year -1 . Reviewed 22 February 2006",3_3,neutral
7132,"4) Solar, it has to be accepted, is to all intents and purposes a busted flush. It contributes so little that even a tripling of capacity will make no significant difference.",4_4,approval
7133,"It is often argued that infrared radiation from manmade greenhouse gases can only penetrate the top few millimeters of the ocean surface and thats where evaporation occurs. That argument then continues that additional infrared radiation from anthropogenic greenhouse gases can only add to surface evaporation, and cannot heat the oceans. On the other hand, sunlight reaches into the oceans to depths of 100 meters or so, though most of it is absorbed in the top 10 meters. Even so, sunlights ability to warm the oceans is many orders of magnitude greater than infrared radiation. One of my earliest memories of this argument came from Robert E. Stevensons (Oceanographer Scripps) 2000 article Yes, the Ocean Has Warmed; No, Its Not Global Warming . In April of this year, looking for solid answers on this topic, Roy Spencer presented the same arguments and a few counter arguments in his post, Can Infrared Radiation Warm a Water Body?",2_1,neutral
7135,The 2 C Maximum Temperature Goal: German Climate Scientist Admits It's A Bogus Public Relations Stunt,5_2,neutral
7136,"The technological advancement of wind has primarily been in the form of ridiculously large rotor blade designs. But no matter how large those rotors become, they cannot reverse the basic failing of wind as a fuel: it is intermittent and shows up primarily at times of low demand and thus low energy value. Strikingly, the value of the PTC is essentially equal to the wholesale value of electricity in most markets.",4_4,neutral
7139,"4. Given that many of these models predicted warming trends well before China surpassed the United States as the largest GHG emitter, and given the fact that emissions continue to grow at a pace beyond what was originally incorporated into the models, shouldnt the warming be far worse than what was predicted in the worst case scenarios rather than well below predictions?",5_1,curiosity
7144,"This model from Kaufmann et al., 2011 simulated natural and anthropogenic (primarily CO2) forcing mechanisms from 1999-2008. Natural forcing won by a score of 3-1.",2_1,neutral
7158,"It is true that China is planning to reduce its so-called ???carbon intensity?? quite substantially by 2020. But there is a world of difference between the sensible objective of using fossil fuels more efficiently, which is what this means, and the foolish policy of abandoning fossil fuels, which it has no intention of doing. China??s total carbon emissions are projected to carry on rising and rising substantially as its economy grows.",4_2,realization
7164,"At a fundamental level, carbon dioxide is the basis of nearly all life on Earth, as it is the primary raw material or food that is utilized by plants to produce the organic matter out of which they construct their tissues.",3_3,neutral
7169,"???The lack of a tropical upper tropospheric hotspot in the observations is the main reason for the disconnect in the above plots, and as I have been pointing out this is probably rooted in differences in water vapor feedback. The models exhibit strongly positive water vapor feedback, which ends up causing a strong upper tropospheric warming response (the hot spot), while the observations lack of a hot spot would be consistent with little water vapor feedback.?? ??? Roy Spencer",2_3,neutral
7173,"The climate models that try to emulate the greenhouse effect but that don't reproduce the correct chemistry are simply wrong models because the chemistry that involves the greenhouse gases on either side of the formulae is completely crucial for the greenhouse effect. Because O??? and CH??? are also greenhouse gases, it is damn important to know whether they exist in the atmosphere and whether they are being destroyed and whether they will be destroyed in the future (and how much). So Schmidt's statement Precisely zero of the IPCC AR4 model simulations ( discussed here for instance) used an interactive ozone module in doing the projections into the future. implies that you should now throw precisely all IPCC AR4 models to the trash bin or, to say the same thing more moderately, to work very hard to correct the bug and to introduce the previously neglected important effect that was pointed out by Dr Katie Read et al.",5_1,confusion
7174,A recent publication by NASA suggests that carbon dioxide actually contributes to Global Cooling: http://www.naturalnews.com/040448 solar radiation global warming debunked.html,2_3,neutral
7177,The source of the fire is believed to be an electrical fault with a solar panel on the roof. An investigation is under way.??,4_4,curiosity
7181,"There had been 300 years of warming from 1695 to 1995, during which we could not have had any measurable influence over the first 280 years.",2_1,neutral
7185,"Yes, the world has warmed since 1750. However, even if one accepts Dr. Mllers estimate of 1.5 C o warming since then, that rate is indeed well within the natural variability of the climate. Indeed, in the 40 years from 1695 to 1735, Central England (not a bad proxy for global temperature change) warmed naturally at 0.4 C o per decade, seven times faster than the 0.057 C o per decade he finds in the 262 years during which we are supposed to have influenced the weather.",2_1,approval
7187,"Did Lord Monckton not accept that we could quantify the CO2 feedback? This point came from the professor. Well, replied Lord Monckton in one of his most crushing responses, perhaps the professor can quantify it, but the IPCC cant: its 2007 gospel gives an exceptionally wide range of answers, from 25 to 225 parts per million by volume per Kelvin in short, they dont know.",5_1,neutral
7190,"It might well be that the limited radiosonde evidence we have of lower tropospheric moistening and upper tropospheric drying (e.g. Paltridge et al., 2009 ) is telling us that water vapor feedback is not positive, as is currently assumed in climate models. This is basically the reason why Miskolczi (2010) found a constant greenhouse effect?? that the observed decrease in upper tropospheric humidity (which is controversial from an observational standpoint) just offset the warming caused by increasing CO2.",3_1,neutral
7192,"So what??s the upshot? Their reconstruction ???shows a succession of warm and cold episodes including peak warmth during Roman and Medieval times alternating with severe cool conditions centred in the fourth and fourteenth centuries.?? The warmest 30-year period was A.D. 21-50, which was1.05C warmer than the mean temperaturefor 1951-1980 and~0.5C warmer than the region??s maximum 20th century warmth, whichoccured during 1921-1950.",2_1,curiosity
7193,"Natural gas will be used to produce 29 percent of the countrys electricity this year, up from 20 percent in 2008. Nuclear accounts for 20 percent. Hydroelectric, wind, solar and other renewables make up the rest.",4_5,neutral
7194,"A paper published today in the Journal of Geophysical Research in essence reveals climate models are not capable of reproducing the observed climate of the past century, much less the future. According to the paper, ""few models reproduce the strong observed warming trend from 1918 to 1940,"" there are ""large differences"" in the forcings and feedbacks used in various models and that some of these are ""unrealistic."" In other words, the key inputs and assumptions of the models are not known with reasonable certainty - ergo GIGO . The paper also finds that predicting the range of ""future climate change by weighting these models based on their 20th century is not possible.""Translation: climate models are little more than very expensive computer fantasy games that cannot predict the future nor even replicate the past.",5_1,neutral
7200,"Positive feedback in engineering invariably results in unstable systems so we have to ask why do most if not all of the climate models rely on it to get doomsday predictions? For the Earth to have survived as long as it has with a stable climate, through major events like ice-ages or volcanic eruptions, there is little doubt that a degree of negative climate feedback is essential.",3_1,curiosity
7201,"Note that the most reasonable explanation to the cloud variations is that of the cosmic ray cloud link. By now there are many independent lines of evidence showing its existence (e.g., for a not so recent summary take a look here ). That is, the cloud cover variations are controlled by an external lever, which itself is affected by solar activity.",2_1,neutral
7204,"I am for a carbon tax. I also believe that the Climategate emails revealed, to an extent that surprised even me (and I am difficult to surprise), an ethos of suffocating groupthink and intellectual corruption?",5_2,surprise
7206,Canadian researcher Steve McIntyre discovered earlier this week that the IPCCs recent report on alternative energy which asserted that it was possible to convert the world to 80% green energy by 2050 if politicians would simply tax conventional sources and spend billions on alternative sources was lifted largely from Greenpeace reports.,5_2,realization
7214,"And so we discover yet another positive impact of CO 2 -induced ocean acidification on Earth's marine life in which the ""harmful effects of UVR on C. curvisetus could be counteracted.""",3_2,approval
7216,"The 'greenhouse gases' convert the energy carried by the infrared radiation emitted from the surface into heat in the oxygen and nitrogen in the atmosphere. The greenhouse gas (water vapor) that produces 95% of the 'greenhouse effect' near the surface is also the component in the atmosphere that sets the lapse rate. The supposed amplification of AGW by the increase in the concentration of water vapor by an increase in the concentration of CO 2 is contradicted by the measurements taken by radiosondes of temperature changes in the atmosphere, which clearly show that an increase in the concentration of water vapor causes the temperature of the surface to fall rather than rise.",2_3,neutral
7222,The climate models overestimate temperature rises due to CO 2 by at least a factor of three.,5_1,disapproval
7226,Structural uncertainty is rarely quantified in context of subsequent model versions. Continual ad hoc adjustment of GCMs(calibration) provides a means for the model to avoid being falsified new model forms with increasing complexity aregenerally regarded better.,5_1,neutral
7230,"The reason why SST, CO2 and LOD correlate so well is that they are all dependent variables. The external driving force is the independent variable. It is the electromagnetic field imposed on the earth which causes motion (rotation) and electromagnetically induced heating. The driving force is nominally from the Sun.",2_1,neutral
7234,More Midwest daily maximum temperature records were set in the heat waves of 1911 and the 1930s than in the 2012 heat wave.,1_7,neutral
7235,"A British High Court judge ruled that ""An Inconvenient Truth"" promotes ""partisan political views,"" was riddled with errors and falsehoods, and could not be shown any more in schools, unless accompanied by a teacher's guide correcting information that Gore had misrepresented. Two of the most egregious distortions are especially likely to scare kids.",5_2,fear
7246,"Yes, you read that right the same Will Steffen who is the Labor governments Chief Alarmist, and who has already made up his mind and linked the Queensland floods to climate change (see here ). Kind of like the University of East Anglia investigating Climategate no, wait, they did. What hope is there for an impartial, balanced report? None. The people of Queensland deserve better.",5_2,neutral
7249,"The earth is now on the brink of entering another Ice Age, according to a large and compelling body of evidence from within the field of climate science. Many sources of data which provide our knowledge base of long-term climate change indicate that the warm, twelve thousand year-long Holocene period will rather soon be coming to an end, and then the earth will return to Ice Age conditions for the next 100,000 years.",1_2,realization
7254,"When looking at the temperature trends , it is clear that global warming has actually been missing for the last 15 years. This has definitely been the case of the continental U.S. as the graph on the left depicts.",1_4,realization
7255,"We can not look particularly noticeable traces of the major volcanic eruptions Pinatubo in 1991, El Chichon in 1992 and Agnung 1963, suggesting that the cooling effects due to emissions of particles (aerosols) are modest, at least for these eruptions.This strengthens our claim in an earlier post that aerosols in climate models are exaggerated.",5_1,neutral
7258,"Nowack et al . (2014) write that ""state-of-the-art climate models now include more climate processes simulated at higher spatial resolution than ever,"" but they state that ""some processes, such as atmospheric chemical feedbacks, are still computationally expensive,"" and they say they are therefore ""often ignored in climate simulations,"" citing the studies of Taylor et al . (2012) and Kravitz et al . (2013).",5_1,neutral
7261,"But NSIDC seems to be thinking differently in their March 3, 2010 newsletter . They say Antarctica is cooling and sea ice is increasing (makes sense ??? ice is associated with cold.)",1_1,neutral
7269,"The multi-decadal climate models are intended to provide information as to what are the plausible changes. However, in my view there is no need (and much added expense) to use the models to create changed climatology when these models have never demonstrated skill in the predictionfor the past decadesof changes in regional climatology . Thus, the large expense being applied, as illustrated in my post on the Mote et al 2011 EOS article , is not justified.",5_1,disapproval
7271,"This disagreement goes to the heart of many current political issues and explains much about why people disagree about environmental policy. In the climate debate, for example, pessimists see a limit to the atmosphere's capacity to cope with extra carbon dioxide without rapid warming. So a continuing increase in emissions if economic growth continues will eventually accelerate warming to dangerous rates. But optimists see economic growth leading to technological change that would result in the use of lower-carbon energy. That would allow warming to level off long before it does much harm.",4_2,disapproval
7272,"Where Jim Hessells piece comes off the rails is in his assumption that increased CO2 is a proven threat. CO2 causes global warming, and more of it will cause a small fraction more, but theres no sound evidence that increased CO2 is a hazard.",2_3,neutral
7273,"In all of the discussions of the global warming hiatus in AR5, the IPCC starts the hiatus period in 1998, limiting the hiatus period to the last 15 years. They also limit the presentation to the data and models that represent the combined global land surface air plus sea surface temperatures. This discussion shows that the hiatus period has lasted much longer than 15 years in some ocean basins.",1_4,neutral
7277,"To describe carbon dioxide as a lethal air pollutant is an irresponsible lie it is surprising to see such rubbish in print. Carbon dioxide is the most important and essential atmospheric plant food, without which there would be no plants, no herbivores (which live on plants), and no carnivores (which live on herbivores).",3_3,surprise
7285,"In regard to their self-imposed question - ""which factor (temperature or CO 2 ) would have a greater effect under a climate change scenario?"" - Garrua-Hernandez et al . say their present results suggest that ""a doubling of atmospheric CO 2 levels in tropical-subtropical regions would promote positive changes in plants that could mitigate any deterioration caused by higher temperature, as long as this factor does not reach extremely stressful levels."" And they add that ""under greenhouse conditions, the present results are promising since maximum temperature can be controlled, preventing any detrimental effects, while high CO 2 levels can be applied to accelerate phenological states, increase the number of flowers and fruit, and consequently improve fruit yields."" Reference",3_3,curiosity
7286,Collapse of the AGW theory of the IPCC; 'Most influential climate paper of all time' contains multiple false assumptions,5_1,neutral
